date,team1,team2,two_v_two_winner,slot,map_name,winner,winner_score,loser_score,series_winner,picked_by
2026-03-13,DVS,XROCK,XROCK,2,Summit,DVS,250,187
2026-03-13,DVS,XROCK,XROCK,3,Standoff,DVS,4,2
2026-03-13,SPG,Felines,SPG,1,Coastal,SPG,9,4
2026-03-13,SPG,Felines,SPG,2,Takeoff,SPG,250,168
2026-03-13,SPG,Felines,SPG,3,Crossroads Strike,SPG,4,1
2026-03-14,GL,ETs,GL,1,Slums,GL,9,4
2026-03-14,GL,ETs,GL,2,Summit,GL,250,88
2026-03-14,GL,ETs,GL,3,Crossroads Strike,GL,4,1
2026-03-14,Wolves,DVS,Wolves,1,Tunisia,Wolves,10,8
2026-03-14,Wolves,DVS,Wolves,2,Takeoff,Wolves,250,219
2026-03-14,Wolves,DVS,Wolves,3,Crossroads Strike,Wolves,4,1
2026-03-14,XROCK,Felines,XROCK,1,Coastal,XROCK,10,8
2026-03-14,XROCK,Felines,XROCK,2,Takeoff,XROCK,250,159
2026-03-14,XROCK,Felines,XROCK,3,Crossroads Strike,XROCK,4,1
2026-03-15,ELV,ETs,ELV,1,Firing Range,ELV,9,1
2026-03-15,ELV,ETs,ELV,2,Hacienda,ELV,250,107
2026-03-15,ELV,ETs,ELV,3,Crossroads Strike,ELV,4,0
2026-03-15,TSM,XROCK,TSM,1,Firing Range,TSM,9,3
2026-03-15,TSM,XROCK,TSM,2,Takeoff,TSM,250,213
2026-03-15,TSM,XROCK,TSM,3,Standoff,TSM,4,1
2026-03-15,Q9,SPG,Q9,1,Coastal,SPG,9,7
2026-03-15,Q9,SPG,Q9,2,Hacienda,Q9,250,109
2026-03-15,Q9,SPG,Q9,3,Crossroads Strike,Q9,4,0
2026-03-15,Q9,SPG,Q9,4,Tunisia,Q9,9,3
2026-03-15,OUG,Felines,OUG,1,Firing Range,OUG,9,3
2026-03-15,OUG,Felines,OUG,2,Hacienda,OUG,250,115
2026-03-15,OUG,Felines,OUG,3,Crossroads Strike,OUG,4,1
2026-03-19,Q9,XROCK,Q9,1,Coastal,Q9,9,4
2026-03-19,Q9,XROCK,Q9,2,Summit,Q9,250,225
2026-03-19,Q9,XROCK,Q9,3,Crossroads Strike,Q9,4,3
2026-03-19,GL,ALU,GL,1,Coastal,ALU,10,8
2026-03-19,GL,ALU,GL,2,Arsenal,ALU,250,68
2026-03-19,GL,ALU,GL,3,Standoff,ALU,4,1
2026-03-19,SPG,DVS,SPG,1,Coastal,SPG,9,7
2026-03-19,SPG,DVS,SPG,2,Combine,DVS,250,211
2026-03-19,SPG,DVS,SPG,3,Crossroads Strike,DVS,4,0
2026-03-19,SPG,DVS,SPG,4,Firing Range,SPG,9,7
2026-03-19,SPG,DVS,SPG,5,Hacienda,DVS,250,100,,DVS
2026-03-19,ETs,Felines,ETs,1,Meltdown,ETs,9,6
2026-03-19,ETs,Felines,ET,2,Arsenal,ETs,250,229
2026-03-19,ETs,Felines,ET,3,Raid,Felines,4,2
2026-03-19,ETs,Felines,ET,4,Slums,ETs,9,1
2026-03-20,GAL,HF,GAL,1,Slums,GAL,9,5
2026-03-20,GAL,HF,GAL,2,Summit,GAL,250,174
2026-03-20,GAL,HF,GAL,3,Crossroads Strike,GAL,4,0
2026-03-20,GL,OUG,GL,1,Coastal,GL,10,8,GL
2026-03-20,GL,OUG,GL,2,Arsenal,OUG,250,192,
2026-03-20,GL,OUG,GL,3,Standoff,OUG,4,1,
2026-03-20,GL,OUG,GL,4,Meltdown,GL,9,7,
2026-03-20,GAL,ALU,ALU,1,Coastal,GAL,9,2
2026-03-20,GAL,ALU,ALU,2,Hacienda,ALU,250,105
2026-03-20,GAL,ALU,ALU,3,Raid,ALU,4,3
2026-03-20,GAL,ALU,ALU,4,Meltdown,GAL,9,4
2026-03-20,GAL,ALU,ALU,5,Combine,ALU,250,186,,ALU
2026-03-20,Q9,TSM,Q9,1,Tunisia,Q9,9,5
2026-03-20,Q9,TSM,Q9,2,Summit,Q9,250,153
2026-03-20,Q9,TSM,Q9,3,Crossroads Strike,Q9,4,0
2026-03-21,ALU,OUG,ALU,1,Firing Range,ALU,9,6
2026-03-21,ALU,OUG,ALU,2,Arsenal,OUG,250,161
2026-03-21,ALU,OUG,ALU,3,Standoff,ALU,4,1
2026-03-21,ALU,OUG,ALU,4,Tunisia,ALU,9,5
2026-03-21,GAL,DVS,DVS,1,Slums,GAL,9,4
2026-03-21,GAL,DVS,DVS,2,Combine,GAL,250,194
2026-03-21,GAL,DVS,DVS,3,Raid,GAL,4,1
2026-03-21,Q9,Wolves,Wolves,1,Firing Range,Q9,9,7
2026-03-21,Q9,Wolves,Wolves,2,Combine,Q9,250,233
